train epoch: 69 batch: 4000 cost: 0.138096
train epoch: 69 batch: 8000 cost: 0.16131
train epoch: 69 batch: 12000 cost: 0.208213
train epoch: 69 batch: 16000 cost: 0.168107
train epoch: 70 batch: 0 cost: 0.156856
train epoch: 70 batch: 4000 cost: 0.17099
train epoch: 70 batch: 8000 cost: 0.142909
train epoch: 70 batch: 12000 cost: 0.168055
train epoch: 70 batch: 16000 cost: 0.199594
train epoch: 71 batch: 0 cost: 0.153886
train epoch: 71 batch: 4000 cost: 0.180873
train epoch: 71 batch: 8000 cost: 0.148213
train epoch: 71 batch: 12000 cost: 0.152268
train epoch: 71 batch: 16000 cost: 0.169409
train epoch: 72 batch: 0 cost: 0.141548
train epoch: 72 batch: 4000 cost: 0.14461
train epoch: 72 batch: 8000 cost: 0.13052
train epoch: 72 batch: 12000 cost: 0.14762
train epoch: 72 batch: 16000 cost: 0.176872
train epoch: 73 batch: 0 cost: 0.140558
train epoch: 73 batch: 4000 cost: 0.185762
train epoch: 73 batch: 8000 cost: 0.142384
train epoch: 73 batch: 12000 cost: 0.144222
train epoch: 73 batch: 16000 cost: 0.156225
train epoch: 74 batch: 0 cost: 0.131685
train epoch: 74 batch: 4000 cost: 0.143185
train epoch: 74 batch: 8000 cost: 0.116708
train epoch: 74 batch: 12000 cost: 0.156658
train epoch: 74 batch: 16000 cost: 0.128117
train epoch: 75 batch: 0 cost: 0.159909
train epoch: 75 batch: 4000 cost: 0.116183
train epoch: 75 batch: 8000 cost: 0.145029
train epoch: 75 batch: 12000 cost: 0.177729
train epoch: 75 batch: 16000 cost: 0.12852
train epoch: 76 batch: 0 cost: 0.163863
train epoch: 76 batch: 4000 cost: 0.119427
train epoch: 76 batch: 8000 cost: 0.121569
train epoch: 76 batch: 12000 cost: 0.12184
train epoch: 76 batch: 16000 cost: 0.118406
train epoch: 77 batch: 0 cost: 0.144221
train epoch: 77 batch: 4000 cost: 0.109356
train epoch: 77 batch: 8000 cost: 0.117775
train epoch: 77 batch: 12000 cost: 0.103939
train epoch: 77 batch: 16000 cost: 0.120102
train epoch: 78 batch: 0 cost: 0.115818
train epoch: 78 batch: 4000 cost: 0.0882367
train epoch: 78 batch: 8000 cost: 0.108167
train epoch: 78 batch: 12000 cost: 0.103623
train epoch: 78 batch: 16000 cost: 0.108878
train epoch: 79 batch: 0 cost: 0.103958
train epoch: 79 batch: 4000 cost: 0.103123
train epoch: 79 batch: 8000 cost: 0.0910437
train epoch: 79 batch: 12000 cost: 0.0840506
train epoch: 79 batch: 16000 cost: 0.106447
train epoch: 80 batch: 0 cost: 0.111528
train epoch: 80 batch: 4000 cost: 0.091368
train epoch: 80 batch: 8000 cost: 0.11621
train epoch: 80 batch: 12000 cost: 0.085805
train epoch: 80 batch: 16000 cost: 0.0988084
train epoch: 81 batch: 0 cost: 0.115654
train epoch: 81 batch: 4000 cost: 0.0758848
train epoch: 81 batch: 8000 cost: 0.0902958
train epoch: 81 batch: 12000 cost: 0.08199
train epoch: 81 batch: 16000 cost: 0.128154
train epoch: 82 batch: 0 cost: 0.384043
train epoch: 82 batch: 4000 cost: 1.11651
train epoch: 82 batch: 8000 cost: 2.97107
train epoch: 82 batch: 12000 cost: 1.07788
train epoch: 82 batch: 16000 cost: 0.631244
train epoch: 83 batch: 0 cost: 0.536152
